g,p,rtgs
บริบูรณ์,bX-1 ri?4 bUn1,boribun
บริพาร,bX-1 ri-4 PAn1,boriphan
บริภัณฑ์,bX-1 ri-4 Pan1,boriphan
บริภาษ,bX-1 ri-4 PAt3,boriphat
บริยาย,bX-1 ri-4 jAj1,boriyai
บริรักษ์,bx-2 ri-4 rak4,borirak
บริวาร,bX-1 ri-4 wAn1,boriwan
บริษัท,bX-1 ri-4 sat2,borisat
บริษัทข้ามชาติ,bX-1 ri-4 sat2 KAm3 CAt3,borisatkhamchat
บริษัทจำกัด,bX-1 ri-4 sat2 cam1 kat2,borisatchamkat
บริษัทผู้ผลิต,bX-1 ri-4 sat2 PU-3 Pa-2 lit2,borisatphuphalit
บริษัทมหาชน,bX-1 ri-4 sat2 ma-4 hA-5 Con1,borisatmahachon
บริษัทหลักทรัพย์,bX-1 ri-4 sat2 lak2 sap4,borisatlaksap
บริษัทฯ,bX-1 ri?4 sat2,borisat
บริษัทเอกชน,bX-1 ri-4 sat2 ?Ek2 ka-2 Con1,borisatekkachon
บริษัทแม่,bX-1 ri-4 sat2 mY-3,borisatmae
บริสุทธิ์,bX-1 ri-4 sut2,borisut
บริสุทธิ์ผุดผ่อง,bX-1 ri-4 sut2 Put2 PXN2,borisutphutphong
บริสุทธิ์ใจ,bX-1 ri-4 sut2 caj1,borisutchai
บริหาร,bX-1 ri-4 hAn5,borihan
บริหารงาน,bX-1 ri-1 hAn5 NAn1,borihanngan
บริหารธุรกิจ,bX-1 ri-4 hAn5 Tu?4 ra-4 kit2,borihanthurakit
บริหารธุรกิจมหาบัณฑิต,bX-1 ri-4 hAn5 Tu?4 ra-4 kit2 ma-4 hA-5 ban1 dit2,borihanthurakitmahabandit
บริเฉท,bx?2 ri?4 CEt2,borichet
บริเตน,bri?2 tEn1,briten
บริเวณ,bX-1 ri-4 wEn1,boriwen
บริโภค,bX-1 ri-4 POk3,boriphok
บรูไน,brU-1 naj1,brunai
บลู,ba-2 lU-1,balu
บลูทูธ,blU-1 TUt3,bluthut
บลูมเบิร์ก,blUm1 bZk2,blumboek
บลูเบอร์รี่,blU-1 bZ-1 rI-3,bluboeri
บลูเรย์,ba-2 lU-1 rE-1,balure
บล็อก,ba-2 lxk4,balok
บล็อกเกอร์,blxk2 kX-3,blokko
บวกลบคูณหาร,bRk2 lop4 KUn1 hAn5,buaklopkhunhan
บวงสรวง,bRN1 sRN5,buangsuang
บวชพระ,bRt2 Pra?4,buatphra
บวชเณร,bRt2 nEn1,buatnen
บวชเรียน,bRt2 rJn1,buatrian
บวบงู,bRp2 NU-1,buapngu
บวร,bX-1 wXn1,bowon
บอกกล่าว,bXk2 klAw2,bokklao
บอกคำบอก,bXk2 Kam1 bXk2,bokkhambok
บอกทาง,bXk2 TAN1,bokthang
บอกบท,bXk2 bot2,bokbot
บอกบุญ,bXk2 bun1,bokbun
บอกปัด,bXk2 pat2,bokpat
บอกรับเป็นสมาชิก,bXk2 rap4 pen1 sa-1 mA-1 Cik4,bokrappensamachik
บอกเปิด,bXk2 pZt2,bokpoet
บอกเป็นนัย,bXk2 pen1 naj1,bokpennai
บอกเลิก,bXk2 lZk3,bokloek
บอกเล่า,bXk2 law3,boklao
บอกใบ้,bXk2 baj3,bokbai
บอดี้การ์ด,bX-1 dI-3 kAd2,bodikad
บอตสวานา,bXt2 sa-1 wA-1 nA-1,botsawana
บอนไซ,bXn1 saj1,bonsai
บอบช้ำ,bXp2 CAm4,bopcham
บอบบาง,bXp2 bAN1,bopbang
บอบแบบ,bxp2 byp2,bopbaep
บอมเบย์,bXm1 bE-1,bombe
บอยคอต,bXj1 KXt3,boikhot
บอระเพ็ด,bX-1 ra?4 Pet4,boraphet
บอร์เนียว,bX-1 nJw1,boniao
บอลลูน,bXn1 lUn1,bonlun
บอสตัน,bXt2 tan1,bottan
บอสเนีย,bXt2 nJ-1,botnia
บะหมี่,ba?2 mI-2,bami
บักหำ,bak2 ham5,bakham
บักโกรก,bak2 krOk2,bakkrok
บัคเตรี,bak2 tE-1 rI-1,bakteri
บังกลาเทศ,baN1 ka-2 lA-1 TEt3,bangkalathet
บังกะโล,baN1 ka-1 lO-1,bangkalo
บังกาโล,baN1 kA-1 lO-1,bangkalo
บังคน,baN1 Kon1,bangkhon
บังคนหนัก,baN1 Kon1 nak2,bangkhonnak
บังคนเบา,baN1 Kon1 baw1,bangkhonbao
บังคม,baN1 Kom1,bangkhom
บังคลาเทศ,baN1 KlA-1 TEt3,bangkhlathet
บังควร,baN1 KRn1,bangkhuan
บังคับ,baN1 Kap4,bangkhap
บังคับการ,baN1 Kap4 kAn1,bangkhapkan
บังคับบัญชา,baN1 Kap4 ban1 CA-1,bangkhapbancha
บังคับเอา,baN1 Kap4 ?aw1,bangkhapao
บังคับใช้,baN1 Kap4 Caj4,bangkhapchai
บังตา,baN1 tA-1,bangta
บังมืด,baN1 mVt3,bangmuet
บังสาด,baN1 sAt2,bangsat
บังสุกุล,baN1 su?2 ku?2 la-4,bangsukula
บังหน้า,baN1 nA-3,bangna
บังอร,baN1 ?Xn1,bangon
บังอาจ,baN1 ?At2,bangat
บังเกอร์,baN1 kZ-1,bangkoe
บังเกิด,baN1 kZt2,bangkoet
บังเกิดผล,baN1 kZt2 Pon5,bangkoetphon
บังเงา,baN1 Naw1,bangngao
บังเหียน,baN1 hJn5,banghian
บังเอิญ,baN1 ?Zn1,bangoen
บังโคลน,baN1 KlOn1,bangkhlon
บังไพร,baN1 Praj1,bangphrai
บัญชร,ban1 CXn1,banchon
บัญชา,ban1 CA-1,bancha
บัญชาการ,ban1 CA-1 kAn1,banchakan
บัญชี,ban1 CI-1,banchi
บัญชีดำ,ban1 CI-1 dam1,banchidam
บัญชีรายชื่อ,ban1 CI-1 rAj1 CV-3,banchiraichue
บัญชีออมทรัพย์,ban1 CI-1 ?Xm1 sap4,banchiomsap
บัญชีเงินฝาก,ban1 CI-1 Nzn1 fAk2,banchingoenfak
บัญชีเดินสะพัด,ban1 CI-1 dZn1 sa?2 Pat4,banchidoensaphat
บัญญัติ,ban1 jat2,banyat
บัญญัติศัพท์,ban1 jat2 sap2,banyatsap
บัญญัติไตรยางศ์,ban1 jat2 traj1 jAN1,banyattraiyang
บัณฑิต,ban1 dit2,bandit
บัณฑิตย์,ban1 dit2,bandit
บัณฑิตศึกษา,ban1 dit2 svk2 sA-5,banditsueksa
บัณฑูร,ban1 TUn1,banthun
บัดกรี,bat2 krI-1,batkri
บัดซบ,bat2 sop4,batsop
บัดดล,bat2 don1,batdon
บัดนั้น,bat2 nan4,batnan
บัดนี้,bat2 nI-4,batni
บัดสี,bat2 sI-5,batsi
บัตรประจำตัว,bat2 pra-1 cam1 tR-1,batprachamtua
บัตรประจำตัวประชาชน,bat2 pra-1 cam1 tR-1 pra-1 CA-1 Con1,batprachamtuaprachachon
บัตรประชาชน,bat2 pra-1 CA-1 Con1,batprachachon
บัตรผ่านประตู,bat2 PAn2 pra-1 tU-1,batphanpratu
บัตรลงคะแนน,bat2 loN1 Ka-4 nYn1,batlongkhanaen
บัตรสมาชิก,bat2 sa-1 mA-1 Cik4,batsamachik
บัตรอวยพร,bat2 ?Rj1 PXn1,batuaiphon
บัตรเครดิต,bat2 KrE-1 dit2,batkhredit
บัตรเชิญ,bat2 CZn1,batchoen
บัตรเติมเงิน,bat2 tZm1 Nzn1,battoemngoen
บัตรเลือกตั้ง,bat2 lWk3 taN3,batlueaktang
บัตรเสีย,bat2 sJ-5,batsia
บัตรโทรศัพท์,bat2 TO-1 ra-4 sap2,batthorasap
บันดาล,ban1 dAn1,bandan
บันดาลใจ,ban1 dAn1 caj1,bandanchai
บันทึก,ban1 Tvk4,banthuek
บันทึกประจำวัน,ban1 Tvk4 pra-1 cam1 wan1,banthuekprachamwan
บันทึกภาพ,ban1 Tvk4 PAp3,banthuekphap
บันทึกเสียง,ban1 Tvk4 sJN5,banthueksiang
บันนังสตา,ban1 naN1 sa-1 tA-1,bannangsata
บันยะบันยัง,ban1 ja?4 ban1 jaN1,banyabanyang
บันลือ,ban1 lV-1,banlue
บันเทิง,ban1 TZN1,banthoeng
บันเทิงคดี,ban1 TZN1 Ka-4 dI-1,banthoengkhadi
บันเบา,ban1 baw1,banbao
บันได,ban1 daj1,bandai
บันไดหนีไฟ,ban1 daj1 nI-5 faj1,bandainifai
บันไดเลื่อน,ban1 daj1 lWn3,bandailuean
บัปผาสะ,bap2 PA-5 sa?2,bapphasa
บัพชา,bap2 Pa-4 CA-1,bapphacha
บัพชิต,bap2 Pa-4 Cit4,bapphachit
บัลกาเรีย,ban1 kA-1 rJ-1,bankaria
บัลลังก์,ban1 laN1,banlang
บัลลังก์ศาล,ban1 laN1 sAn5,banlangsan
บัลลูน,ban1 lUn1,banlun
บัลเลต์,ban1 lE-1,banle
บัลเล่ต์,ban1 le?3,banle
บัลแกเรีย,ban1 kY-1 rJ-1,bankaeria
บัวกลุ่ม,bR-1 klum2,buaklum
บัวนาง,bR-1 nAN1,buanang
บัวบก,bR-1 bok2,buabok
บัวลอย,bR-1 lXj1,bualoi
บั่นทอน,ban2 TXn1,banthon
บั้งไฟ,baN3 faj1,bangfai
บั้นท้าย,ban3 TAj4,banthai
บั้นปลาย,ban3 plAj1,banplai
บั้นหลวง,ban3 lRN5,banluang
บั้นเอว,ban3 ?ew1,baneo
บากบั่น,bAk2 ban2,bakban
บากหน้า,bAk2 nA-3,bakna
บางกอก,bAN1 kXk2,bangkok
บางกอกใหญ่,bAN1 kXk2 jaj2,bangkokyai
บางคน,bAN1 Kon1,bangkhon
บางครั้ง,bAN1 KraN4,bangkhrang
บางครั้งบางคราว,bAN1 KraN4 bAN1 KrAw1,bangkhrangbangkhrao
บางคราว,bAN1 KrAw1,bangkhrao
บางตา,bAN1 tA-1,bangta
บางที,bAN1 TI-1,bangthi
บางท่าน,bAN1 Tan3,bangthan
บางนา,bAN1 nA-1,bangna
บางประการ,bAN1 pra-1 kAn1,bangprakan
บางประเด็น,bAN1 pra-1 den1,bangpraden
บางปะกง,bAN1 pa?2 koN1,bangpakong
บางราย,bAN1 rAj1,bangrai
บางสิ่ง,bAN1 siN2,bangsing
บางสิ่งบางอย่าง,bAN1 siN2 bAN1 jAN2,bangsingbangyang
บางส่วน,bAN1 sRn2,bangsuan
บางหน,bAN1 hon5,banghon
บางอย่าง,bAN1 jAN2,bangyang
บางเบา,bAN1 baw1,bangbao
บางเวลา,bAN1 wE-1 lA-1,bangwela
บางแค,bAN1 KY-1,bangkhae
บางแห่ง,bAN1 hyN2,banghaeng
บางโอกาส,bAN1 ?O-1 kAt2,bangokat
บาดตา,bAt2 tA-1,batta
บาดทะพิษ,bAt2 Ta?4 Pit4,batthaphit
บาดทะยัก,bAt2 Ta?4 jak4,batthayak
บาดหมาง,bAt2 mAN5,batmang
บาดหู,bAt2 hU-5,bathu
บาดาล,bA-1 dAn1,badan
บาดเจ็บ,bAt2 cep2,batchep
บาดเจ็บสาหัส,bAt2 cep2 sA-5 hat2,batchepsahat
บาดแผล,bAt2 PlY-5,batphlae
บาดใจ,bAt2 caj1,batchai
บาทบริจาริกา,bAt2 bx?2 ri?4 cA-1 ri?4 kA-1,batboricharika
บาทมูลิกากร,bAt2 Ta-4 mU-1 li?4 kA-1 kXn1,batthamulikakon
บาทยุคล,bAt2 ju?4 Kon1,batyukhon
บาทวิถี,bAt2 wi?4 TI-5,batwithi
บาทหลวง,bAt2 lRN5,batluang
บาทา,bA-1 TA-1,batha
บาทุกา,bA-1 Tu?4 kA-1,bathuka
บานกบ,bAn1 kop2,bankop
บานตะเกียง,bAn1 ta?2 kJN1,bantakiang
บานตะไท,bAn1 ta?2 Taj1,bantathai
บานทะโรค,bAn1 Ta?4 rOk3,bantharok
บานบุรี,bAn1 bu?2 rI-1,banburi
บานประตู,bAn1 pra-1 tU-1,banpratu
บานปลาย,bAn1 plAj1,banplai
บานพับ,bAn1 Pap4,banphap
บานสะพรั่ง,bAn1 sa-2 PraN3,bansaphrang
บานเกล็ด,bAn1 klet2,banklet
บานเบอะ,bAn1 bz?2,banboe
บานเบิก,bAn1 bZk2,banboek
บานแผนก,bAn1 Pa-2 nYk2,banphanaek
บาปกรรม,bAp2 kam1,bapkam
บายพาส,bAj1 PAt4,baiphat
บายศรี,bAj1 sI-5,baisi
บารมี,bA-1 ra-4 mI-1,barami
บารัค,bA-1 rak4,barak
บารากู่,bA-1 rA-1 kU-2,baraku
บาร์บีคิว,bA-1 bI-1 Kiw1,babikhio
บาร์บี้,bA-1 bI-3,babi
บาร์เซโลนา,bA-1 sE-1 lO-1 nA-1,baselona
บาร์เทนเดอร์,bA-1 TEn1 dZ-1,bathendoe
บาร์เบโดส,bA-1 bE-1 dOt2,babedot
บาร์เรล,bA-1 rEn1,baren
บาร์เลย์,bA-1 lE-1,bale
บาลี,bA-1 lI-1,bali
บาสเกตบอล,bAt2 kEt2 bXn1,batketbon
บาหลี,bA-1 lI-5,bali
บาห์เรน,bA-1 rEn1,baren
บาฮามาส,bA-1 hA-1 mAt3,bahamat
บำนาญ,bam1 nAn1,bamnan
บำบัด,bam1 bat2,bambat
บำราบ,bam1 rAp2,bamrap
บำราศ,bam1 rAt3,bamrat
บำรุง,bam1 ruN1,bamrung
บำรุงบำเรอ,bam1 ruN1 bam1 rZ-1,bamrungbamroe
บำรุงรักษา,bam1 ruN1 rak4 sA-5,bamrungraksa
บำรุงเลี้ยง,bam1 ruN1 lJN4,bamrungliang
บำเพ็ญ,bam1 Pen1,bamphen
บำเพ็ญกุศล,bam1 Pen1 ku?2 son5,bamphenkuson
บำเพ็ญตน,bam1 Pen1 ton1,bamphenton
บำเรอ,bam1 rZ-1,bamroe
บำเหน็จ,bam1 net2,bamnet
บิกินี,bi?2 ki?2 nI-1,bikini
บิชอป,bi?2 CXp3,bichop
บิณฑบาต,bin1 Ta-4 bAt2,binthabat
บิดขี้เกียจ,bit2 KI-3 kJt2,bitkhikiat
บิดตะกูด,bit2 ta-1 kUt2,bittakut
บิดผัน,bit2 Pan5,bitphan
บิดพลิ้ว,bit2 Pliw4,bitphlio
บิดร,bi?2 dXn1,bidon
บิดา,bi?2 dA-1,bida
บิดเบี้ยว,bit2 bJw3,bitbiao
บิดเบือน,bit2 bWn1,bitbuean
บิดไส้,bit2 saj3,bitsai
บินขึ้น,bin1 Kvn3,binkhuen
บินลง,bin1 loN1,binlong
บินวน,bi-2 nRn1,binuan
บินหนี,bin1 nI-5,binni
บิลเลียด,bin1 lJt3,binliat
บิสเซา,bit2 saw1,bitsao
บีฑา,bI-1 TA-1,bitha
บีทียู,bI-1 TI-1 jU-1,bithiyu
บีบคั้น,bIp2 Kan4,bipkhan
บีบน้ำตา,bIp2 nam4 tA-1,bipnamta
บีบบังคับ,bIp2 baN1 Kap4,bipbangkhap
บีบรัด,bIp2 rat4,biprat
บีบีซี,bI-1 bI-1 sI-1,bibisi
บีบแตร,bIp2 trY-1,biptrae
บีเอ,bI-1 ?E-1,bie
บีเอ็ม,bI-1 ?Em1,biem
บีเอ็มดับเบิลยู,bI-1 ?em1 dap2 bZn1 jU-1,biemdapboenyu
บีโอไอ,bI-1 ?O-1 ?aj1,bioai
บึกบึน,bvk2 bvn1,buekbuen
บึงกาฬ,bvN1 kAn1,buengkan
บึ้งตึง,bvN3 tvN1,buengtueng
บุกน้ำลุยไฟ,buk2 nAm4 luj1 faj1,buknamluifai
บุกบั่น,buk2 ban2,bukban
บุกป่าฝ่าดง,buk2 pA-2 fA-2 doN1,bukpafadong
บุกรุก,buk2 ruk4,bukruk
บุกเข้าไป,buk2 Kaw3 paj1,bukkhaopai
บุกเบิก,buk2 bZk2,bukboek
บุคคล,buk2 Kon1,bukkhon
บุคคลธรรมดา,buk2 Kon1 Tam1 ma-4 dA-1,bukkhonthammada
บุคคลล้มละลาย,buk2 Kon1 lom4 la?4 lAj1,bukkhonlomlalai
บุคคลวัต,buk2 Kon1 la?4 wat4,bukkhonlawat
บุคคลิกภาพ,buk2 Ka-4 lik4 ka-2 PAp3,bukkhalikkaphap
บุคลากร,buk2 Ka-4 lA-1 kXn1,bukkhalakon
บุคลาธิษฐาน,buk2 Ka-4 lA-1 Tit4 TAn5,bukkhalathitthan
บุคลิก,buk2 Ka-4 lik4,bukkhalik
บุคลิกภาพ,buk2 Ka-4 lik4 ka-2 PAp3,bukkhalikkaphap
บุคลิกลักษณะ,buk2 Ka-4 lik4 lak4 sa-1 na?2,bukkhaliklaksana
บุญกรรม,bun1 kam1,bunkam
บุญคุณ,bun1 Kun1,bunkhun
บุญญาธิการ,bun1 jA-1 Ti?4 kAn1,bunyathikan
บุญญานุภาพ,bun1 jA-1 nu?4 PAp3,bunyanuphap
บุญธรรม,bun1 Tam1,buntham
บุญบารมี,bun1 bA-1 ra-4 mI-1,bunbarami
บุญราศี,bun1 rA-1 sI-5,bunrasi
บุญหนักศักดิ์ใหญ่,bun1 nak2 sak2 jaj2,bunnaksakyai
บุญเก่า,bun1 kaw2,bunkao
บุณมี,bun1 na-4 mI-1,bunnami
บุตรชาย,but2 CAj1,butchai
บุตรธรรม,but2 tra?2 Tam1,buttratham
บุตรธิดา,but2 Ti?4 dA-1,butthida
บุตรบุญธรรม,but2 bun1 Tam1,butbuntham
บุตรสาว,but2 sAw5,butsao
บุตรหญิง,but2 jiN5,butying
บุตรหลาน,but2 lAn5,butlan
บุตรา,but2 trA-1,buttra
บุตรี,but2 rI-1,butri
บุนนาค,bun1 nAk3,bunnak
บุบบิบ,bup2 bip2,bupbip
บุบสลาย,bup2 sa-1 lAj5,bupsalai
บุปผชาติ,bup2 Pa-1 CAt3,bupphachat
บุปผา,bup2 PA-5,buppha
บุพการี,bup2 Pa-4 kA-1 rI-1,bupphakari
บุพกาล,bup2 Pa?4 kAn1,bupphakan
บุพบท,bup2 Pa-4 bot2,bupphabot
บุพพ,bu?2 Pop4,buphop
บุพเพ,bup2 PE-1,bupphe
บุพเพสันนิวาส,bup2 PE-1 san5 ni?4 wAt3,bupphesanniwat
บุฟเฟ่ต์,buf2 fe?3,buffe
บุรณะ,bu?2 ra-4 na?4,burana
บุรพทิศ,bu?2 ra-4 Pa-4 Tit4,buraphathit
บุรพบท,bu?2 ra-4 Pa-4 bot2,buraphabot
บุราณ,bu?2 rAn1,buran
บุรินทร์,bu?2 rin1,burin
บุริมสิทธิ,bu?2 rim1 ma?4 sit2,burimmasit
บุรี,bu?2 rI-1,buri
บุรีรัมย์,bu?2 rI-1 ram1,buriram
บุรุนดี,bu?2 run1 dI-1,burundi
บุรุษ,bu?2 rut2,burut
บุรุษพยาบาล,bu?2 rut2 Pa-4 jA-1 bAn1,burutphayaban
บุรุษเพศ,bu?2 rut2 PEt3,burutphet
บุรุษไปรษณีย์,bu?2 rut2 praj1 sa-1 nI-1,burutpraisani
บุษกร,but2 sa-1 kXn1,butsakon
บุษบก,but2 sa-1 bok2,butsabok
บุษบง,but2 sa-1 boN1,butsabong
บุษบัน,but2 sa-1 ban1,butsaban
บุษบา,but2 sa-1 bA-1,butsaba
บุษยมาส,but2 ja-4 mAt3,butyamat
บุษราคัม,but2 sa-1 rA-1 Kam1,butsarakham
บุหรี่,bu?2 rI-2,buri
บุหรี่ก้นกรอง,bu?2 rI-2 kon3 krXN1,burikonkrong
บุโรทั่ง,bu?2 rO-1 TaN3,burothang
บุ่มบ่าม,bum2 bAm2,bumbam
บุ้ยปาก,buj3 pAk2,buipak
บุ้ยใบ้,buj3 baj3,buibai
บูคาเรสต์,bU-1 KA-1 rEt3,bukharet
บูชา,bU-1 CA-1,bucha
บูชายัญ,bU-1 CA-1 jan1,buchayan
บูดบึ้ง,bUt2 bvN3,butbueng
บูดาเปสต์,bU-1 dA-1 pEt2,budapet
บูดู,bU-1 dU-1,budu
บูดเบี้ยว,bUt2 bJw3,butbiao
บูรณภาพ,bU-1 ra-4 na-4 PAp3,buranaphap
บูรณะ,bU-1 ra-4 na?4,burana
บูรณาการ,bU-1 ra-4 nA-1 kAn1,buranakan
บูรพา,bU-1 ra-4 PA-1,burapha
บูรพาจารย์,bU-1 ra-1 PA-1 cAn1,buraphachan
บูรพาทิศ,bU-1 ra-4 PA-1 Tit4,buraphathit
บูร์กินาฟาโซ,bU-1 ki?2 nA-1 fA-1 sO-1,bukinafaso
บู้บี้,bU-3 bI-3,bubi
บ่งชัด,boN2 Cat4,bongchat
บ่งชี้,boN2 CI-4,bongchi
บ่งถึง,boN2 TvN5,bongthueng
บ่งบอก,boN2 bXk2,bongbok
บ่งบอกถึง,boN2 bXk2 TvN5,bongbokthueng
บ่นถึง,bon2 TvN5,bonthueng
บ่นพึมพำ,bon2 Pvm1 Pam1,bonphuempham
บ่วงบาศ,bRN2 bAt2,buangbat
บ่อนการพนัน,bXn2 kAn1 Pa-4 nan1,bonkanphanan
บ่อนทำลาย,bXn2 Tam1 lAj1,bonthamlai
บ่อน้ำ,bX-2 nAm4,bonam
บ่อน้ำร้อน,bX-2 nAm4 rXn4,bonamron
บ่อบำบัดน้ำเสีย,bX-2 bam1 bat2 nAm4 sJ-5,bobambatnamsia
บ่อพักน้ำ,bX-2 Pak4 nAm4,bophaknam
บ่อย ๆ,bxj2 bxj2,boiboi
บ่อยครั้ง,bXj2 KraN4,boikhrang
บ่อยๆ,bxj2 bxj2,boiboi
บ่อเกิด,bX-2 kZt2,bokoet
บ่ายคล้อย,bAj2 KlXj4,baikhloi
บ่ายหน้า,bAj2 nA-3,baina
บ่ายเบี่ยง,bAj2 bJN2,baibiang
บ่ายโมง,bAj2 mON1,baimong
บ่าวไพร่,bAw2 Praj3,baophrai
บ้วนน้ำลาย,bRn3 nam4 lAj1,buannamlai
บ้วนปาก,bRn3 pAk2,buanpak
บ้องตื้น,bXN3 tVn3,bongtuen
บ้องหู,bXN3 hU-5,bonghu
บ้องแบ๊ว,bXN3 bYw4,bongbaeo
บ้องไฟ,bXN3 faj1,bongfai
บ้อหุ้น,bX-3 hun3,bohun
บ้ากาม,bA-3 kAm1,bakam
บ้าคลั่ง,bA-3 KlaN3,bakhlang
บ้าจี้,bA-3 cI-3,bachi
บ้านจัดสรร,bAn3 cat2 san5,banchatsan
บ้านช่อง,bAn3 CxN3,banchong
บ้านนอก,bAn3 nXk3,bannok
บ้านนอกคอกนา,bAn3 nXk3 KXk3 nA-1,bannokkhokna
บ้านพัก,bAn3 Pak4,banphak
บ้านพักตากอากาศ,bAn3 Pak4 tAk2 ?A-1 kAt2,banphaktakakat
บ้านพักอาศัย,bAn3 Pak4 ?A-1 saj5,banphakasai
บ้านสวน,bAn3 sRn5,bansuan
บ้านเกิด,bAn3 kZt2,bankoet
บ้านเกิดเมืองนอน,bAn3 kZt2 mWN1 nXn1,bankoetmueangnon
บ้านเช่า,bAn3 Caw3,banchao
บ้านเดิม,bAn3 dZm1,bandoem
บ้านเมือง,bAn3 mWN1,banmueang
บ้านเรือน,bAn3 rWn1,banruean
บ้านเล็ก,bAn3 lek4,banlek
บ้านแตก,bAn3 tYk2,bantaek
บ้านใกล้เรือนเคียง,bAn3 klaj3 rWn1 KJN1,banklairueankhiang
บ้านไร่,bAn3 raj3,banrai
บ้าน้ำลาย,bA-3 nam4 lAj1,banamlai
บ้าบอ,bA-3 bX-1,babo
บ้าบอคอแตก,bA-3 bX-1 KX-1 tYk2,babokhotaek
บ้าบิ่น,bA-3 bin2,babin
บ้าบ๋า,bA-3 bA-5,baba
บ้ายอ,bA-3 jX-1,bayo
